target_id,fc,lrt_qval,wt_qval,Direction
Cp,2777811373.5289807,1.1616709049212537e-44,7.484196452077943e-104,Up
Cxcl12,0.01071910055479496,4.3373772135975104e-29,3.807986791946974e-68,Down
Ghr,7745.1937806677015,4.082326252378732e-26,3.4563143698934443e-47,Up
Syn2,194.93367001171217,1.3786955310968234e-23,4.381706118430531e-71,Up
Hsd11b1,297.916610977542,5.628269263903799e-23,6.489583765156214e-64,Up
Cd74,0.005867790847180325,1.516949025354981e-21,4.691973988578152e-77,Down
Cyp2b10,14826.815883542838,1.9274995681388237e-21,7.882253831368246e-79,Up
Prdx6,67.52218928371734,4.192919623648381e-21,1.650062953591253e-39,Up
Apol6,2112.1059559557566,8.620948687209349e-21,1.7410613166542456e-40,Up
Mat2a,677.2456467576816,1.2385468475195856e-20,5.662494244823174e-24,Up
H2-Ab1,0.0021264730999985227,2.388171483616106e-20,4.4606764518229116e-66,Down
Htra3,2898.5066721593594,1.18691006252178e-19,1.5352848680327089e-31,Up
Prodh,477.4588235037575,3.255412261279024e-18,1.309515908450138e-34,Up
Cd36,34.85160777246119,1.737452452904431e-17,4.066398704028784e-23,Up
Acss3,16.529745611805485,2.384140267992727e-17,1.9522205625145137e-41,Up
Rbms2,4.540267638735879,2.951373491857942e-17,4.701471769700277e-44,Up
Lox,25.927346604209923,8.006901783449295e-17,1.127689974977589e-55,Up
Fmo1,220.4514004796347,8.036526116008391e-17,3.323829645670545e-22,Up
Tmem176b,754.5987211889488,8.287844925534008e-16,4.596165451597089e-21,Up
Egfl7,8.319771714415877e-4,1.0701355584035813e-15,7.697264524049644e-20,Down
Asph,8951595.875035966,1.6640388406504104e-15,2.306206103820491e-22,Up
Tns1,38372.66942849576,1.9134872147629003e-15,4.714208007724898e-22,Up
Fkbp5,8151.982148623142,4.314983080142896e-15,2.9884505045463935e-48,Up
Cyb5a,6.462597939657534,5.171565722235333e-15,2.737783686602673e-22,Up
Slc1a5,268.45322965231475,5.309638765139948e-15,3.3306321372627466e-18,Up
Ltbp4,4.85692978948342e-5,5.309638765139948e-15,1.946108965958843e-27,Down
Fam73b,1212.2389409407072,6.075827020544392e-15,2.2301778265652097e-18,Up
Immt,18.52086993981528,9.106717168459487e-15,7.583430461210719e-16,Up
Sh3glb2,10.98492030497964,1.5477722232143498e-14,7.0383752241322e-18,Up
Slc6a13,174.3591114479601,2.8188642649907202e-14,7.11286733999094e-28,Up
Igfbp3,26.6953853565057,3.656801195765569e-14,6.326389512011119e-33,Up
Sult1a1,18.26258055676331,5.884903304963508e-14,2.521848028920384e-39,Up
Ankef1,589.5871631222938,6.181158587608301e-14,2.923488763388498e-22,Up
Anxa6,4.779559024047029,7.04663876521536e-14,4.751970109400727e-21,Up
Pnpla2,17.7818785843611,7.191786090012027e-14,9.421289120629939e-17,Up
Cd200,0.011229634722894566,7.4239521605715e-14,6.867974080494877e-27,Down
Cacna1a,188.08526327864465,1.0215976554856696e-13,3.0783477129948113e-18,Up
Xaf1,0.03699491044261048,6.144355202262466e-13,9.241173909106176e-14,Down
H2-Q4,0.15022829070306265,6.566848282108164e-13,1.2449236059450362e-24,Down
H2-Aa,5.434626996780679e-4,6.941144508173452e-13,4.254837852900832e-43,Down
Rgsl1,626.8471232783985,6.941144508173452e-13,8.184931113580254e-18,Up
Mndal,0.002801633293875886,1.0111432333962479e-12,4.751970109400727e-21,Down
Entpd4,0.5050875066888578,1.0358549949612119e-12,6.597325985519543e-20,Down
H2-Eb1,0.15966090193375485,1.2828382408267718e-12,1.5266374183003158e-51,Down
Adra1a,25.727466312372787,1.535919078578981e-12,6.393524079896737e-23,Up
Sypl,22.558091013113614,1.535919078578981e-12,1.025305423557375e-18,Up
Cd164l2,2040.4421715207307,2.0218450610543354e-12,3.422005688819996e-49,Up
Gbp9,0.028412147933635824,3.7182592687744775e-12,2.224348007941243e-22,Down
Sptbn1,3.5601589945937837,4.316725172860695e-12,7.583430461210719e-16,Up
Uba7,8.342611865752585e-5,4.4257949270927575e-12,7.103357153016856e-16,Down
Cav1,7.950281806815712,6.194738581829523e-12,1.1772316911033956e-14,Up
Gnas,0.00813480708506039,6.221929884868372e-12,1.1116944173782254e-15,Down
Cxcl9,0.15592324001953348,6.3503531643489346e-12,1.0654695836779955e-46,Down
Hipk1,139.79809480373194,6.845240785394997e-12,2.4541225545315496e-20,Up
Swi5,0.12786732688849073,7.060592297393217e-12,9.202008918652468e-14,Down
Ifrd1,56.30310870493386,7.0916385533895695e-12,2.632133765721053e-14,Up
Mllt4,0.019839334748045827,7.0916385533895695e-12,6.536835995971599e-15,Down
Cryab,4.921772364789519,7.0916385533895695e-12,3.534475242622612e-43,Up
H2-T23,0.13648875298818416,7.634805660507972e-12,2.7757161772172107e-18,Down
Itga6,0.11663973203976438,8.872114528371605e-12,9.44856643403084e-21,Down
Acaa1b,0.08238426856424513,9.535780756560281e-12,3.026102838052581e-23,Down
Prrg3,15.34569610911953,1.1601069094321529e-11,4.738351544920078e-41,Up
Nek6,95.54717153515011,1.1610683831117613e-11,1.5196289839198673e-18,Up
Col18a1,52.613086330937975,1.245057939723806e-11,1.4951404053413772e-17,Up
H2-Q7,0.07286455495428104,1.900075052698185e-11,2.720957936429882e-15,Down
Ifi27,0.052847820048340814,1.9389335771388002e-11,1.751968590128601e-18,Down
Mtmr14,68.67992954022796,2.048952096205362e-11,8.694055342917479e-14,Up
Tnnt3,0.021531175760959684,2.1324313202267217e-11,2.9439750959768477e-12,Down
Map3k6,35.17695960181339,2.5669280957609044e-11,4.698980337755392e-23,Up
Tacc1,2.5199964170911118,2.8887606825925593e-11,4.596160875707164e-20,Up
Ripk4,6.322025347573571,3.302380776097322e-11,7.640347834784086e-37,Up
Jam3,0.21192389152046245,4.2155175044941336e-11,2.051817915721439e-21,Down
Psmb9,0.013226837050361531,5.107906619926383e-11,1.0934432657803543e-15,Down
Crat,109.49808948812692,5.253699543946411e-11,5.119972738961819e-12,Up
Als2cr12,148.7668822948316,5.730894480540978e-11,1.5073405843903262e-13,Up
Snta1,48.39030070696596,9.567336397466516e-11,1.3232986084030342e-20,Up
Plgrkt,0.0319689758996519,9.567336397466516e-11,6.243015114807693e-10,Down
Fcna,8.743533159273817,9.742142097614058e-11,3.5045439666629275e-31,Up
Cd164,5.41644787046798,1.0839800542224241e-10,1.499652953082279e-26,Up
Acox3,18.793677365557418,1.4585574326850498e-10,8.202697212589553e-11,Up
Car5b,4.659669474132586,1.5386351178618253e-10,2.1468903010187954e-33,Up
Col15a1,0.020481519359476712,1.6349187588566735e-10,2.5531404052716274e-19,Down
C7,4.299427061683652,1.742466586982922e-10,1.3076847887955012e-28,Up
Vamp5,0.02651232884247262,1.810377456742696e-10,2.3629623498904283e-10,Down
Parp3,25.049443056187346,1.922832111603409e-10,3.650342219991977e-12,Up
Plxnd1,0.05117097776040258,1.9462519408867103e-10,4.68279964164773e-16,Down
R3hdm1,70.21604730164387,2.1452852425461109e-10,1.0948239845195624e-11,Up
Acaca,645.3338572283417,3.0414649879218737e-10,7.401241644010582e-12,Up
Plin1,15.637689794901785,3.0968753848610805e-10,7.095618265298621e-13,Up
Cpxm1,0.029116201001493484,3.251029816706557e-10,1.9717109610121613e-17,Down
Gbp6,0.04021158713689509,3.2644231520764915e-10,1.8336131840385134e-14,Down
Mpc2,0.21778413978033745,3.47702122893244e-10,7.863135791175856e-17,Down
Ptms,0.13142910668184585,3.5947519727835467e-10,1.851952890337956e-12,Down
Osbpl1a,13465.775296112235,3.74415696396208e-10,5.946275620277908e-12,Up
Psmb8,0.09857301405809249,3.74415696396208e-10,2.5635265169164517e-13,Down
Atp5g3,0.2046729250904572,3.87485801227999e-10,1.171285344318709e-11,Down
Lyve1,11.618397121591372,3.87485801227999e-10,2.2109802872575713e-28,Up
Igfbp4,70.82553438951075,4.047231873507665e-10,1.4917576293627714e-15,Up
Phka2,62.85280480026402,4.047231873507665e-10,8.10747539788261e-12,Up
Kcnj15,3533.461576405941,4.198957302607e-10,7.081761903694246e-19,Up
Tmem86a,0.30776774286124703,4.4467659002370505e-10,6.693121311010508e-28,Down
Gimap4,0.01218977774692081,4.5987680211288526e-10,1.2025349061271976e-15,Down
Atp1a2,12.92981156354928,4.795150058082926e-10,2.2776316857297426e-11,Up
Hdlbp,7.034531296561633,4.797477705835627e-10,6.948872253741347e-13,Up
Ifngr1,51.101197281483664,5.333774357930167e-10,1.0893736376798564e-18,Up
Gm21685,0.07918961219537975,5.6063329487009e-10,4.694029471165029e-16,Down
Dlk1,0.0012959118519301914,7.234453671220047e-10,2.0572858811478306e-11,Down
Macf1,0.005701756149916398,8.376306166527706e-10,1.0787000369034055e-12,Down
Emcn,0.08792505830177116,8.376306166527706e-10,1.954637573200601e-13,Down
Tmem120b,224.7018063575892,8.376306166527706e-10,1.0432765339079021e-10,Up
Nxf1,0.02072067933338534,8.551688585886552e-10,3.1514419755344007e-9,Down
Magix,0.11605417566673557,8.551688585886552e-10,9.814669588728411e-21,Down
Tshz2,2.99766774483206,9.071436579283944e-10,1.122917349112128e-12,Up
Ahcyl2,428.2691523625133,9.071436579283944e-10,2.3197243476994843e-14,Up
Aplnr,0.06873528895078279,9.318511503893057e-10,1.0967707331346697e-25,Down
Tspan15,0.5199782791906782,9.31984766675857e-10,8.881168917989161e-23,Down
Cdkn1c,0.13781368381675102,9.795259802818888e-10,1.1885659523383785e-17,Down
Hif3a,23.07853874170582,1.1492226801926835e-9,9.054855386232759e-23,Up
Slc27a2,0.17396534255867532,1.1492226801926835e-9,9.598902665315767e-14,Down
Smoc2,0.43233107163278806,1.1492226801926835e-9,4.31085092065852e-25,Down
Sik2,49.70604100087437,1.1492226801926835e-9,6.408349396050503e-11,Up
Gngt2,0.026873022488399907,1.1722482567255738e-9,5.956138053243823e-14,Down
Mprip,0.6693906999802924,1.1764122701157907e-9,1.0702769720795853e-8,Down
Lipe,2.443061619950854,1.3355531857119153e-9,6.065520695769696e-10,Up
Dll1,0.1195698227562822,1.460121918746305e-9,6.786354578825391e-18,Down
Ccdc88c,0.18391878100458464,1.460121918746305e-9,2.2181972817080912e-24,Down
Tie1,0.16857526451972316,1.460121918746305e-9,2.239041655643715e-15,Down
