target_id,fc,lrt_qval,wt_qval,Direction
C2,0.48692867431006315,1.6006982520209045e-9,1.8097248165270442e-12,Down
Prrg3,4.179659062011586,1.672170760233671e-9,9.880729558613722e-23,Up
Tead4,3.6871602401124797,1.878027462108695e-9,6.541236795163184e-18,Up
Setd8,1.7059937751107133,2.2132350690053615e-9,4.909180575169215e-13,Up
Tmem38b,2.3425088128339575,2.969694900670249e-9,1.2559271359050498e-23,Up
Gatad1,1.4306405644830555,3.1680098798675733e-9,6.432082670412946e-10,Up
Klc1,1.124853195322587,3.5783356384262482e-9,3.1875354573303606e-9,Up
Eif1a,2.089368857841969,3.5842876992675505e-9,6.200949611218482e-15,Up
Adam15,0.9590334778550526,3.5842876992675505e-9,1.7595657731107005e-9,Down
Axl,1.9789550125303847,3.729764238637593e-9,4.9161191500272694e-15,Up
Slc43a3,1.557730498928223,4.594025633161455e-9,1.9343480953505307e-10,Up
H2-Ke6,0.6041362767205778,4.600957941035371e-9,1.956055220171308e-11,Down
Clock,1.8957996228917127,4.773953480567869e-9,5.045829068795894e-12,Up
Fam49b,1.8008607247959747,4.78515105410566e-9,5.44616508498513e-14,Up
G6pdx,2.2031913295796093,4.9576397535884325e-9,4.510761551224675e-14,Up
Fkbp5,3.0686389968332257,5.021820581118727e-9,2.8489890434674385e-13,Up
Svil,1.4809143484949818,5.29895797826549e-9,1.8697808944537223e-12,Up
Cuedc1,0.6971592118362957,6.889816003362813e-9,5.2356064174135015e-8,Down
Chkb,0.7388035793125385,6.889816003362813e-9,4.1238974996879827e-7,Down
Adrb3,0.3637281296552535,8.362749650279823e-9,2.1983179508771563e-12,Down
Tmbim6,1.1147893414946817,1.3895077290007926e-8,2.6632449784555186e-12,Up
Lyve1,8.35165913721739,1.4058414624875158e-8,3.647981541345616e-24,Up
Tardbp,0.9272438455189983,1.4657707023615767e-8,1.1541789418094745e-8,Down
Cpxm1,0.28578802229341804,1.4657707023615767e-8,2.165510336114817e-13,Down
Prkd2,0.5535506801658983,1.6736793579727127e-8,9.051682848230166e-10,Down
Wipi1,1.848787248083854,1.8520754148505706e-8,4.7422727639406476e-14,Up
Calm1,1.3043416098442304,1.9421810897260352e-8,8.944168446373955e-15,Up
Dll1,0.3782423827144264,1.9904000222317036e-8,4.8653918996089655e-14,Down
Hdac3,0.7837526449667975,2.0440840816813547e-8,5.004658429668582e-9,Down
Tulp4,1.0362251986853415,2.1460504517595447e-8,5.8772481206390875e-6,Up
Sox17,0.4510433817511051,2.157072709164916e-8,4.2564871695285875e-10,Down
Rbms2,1.8536960703163294,2.1846448590598024e-8,4.4538636982329236e-14,Up
Celsr2,0.30282643239343365,2.2037899846493132e-8,1.46439916126853e-13,Down
Tsn,1.113471845237773,2.4968363139911032e-8,2.3350192496794254e-7,Up
Pole4,1.468636433652923,2.588514741796932e-8,1.3693850927286455e-9,Up
Snta1,2.2470779716372844,2.6000376071156537e-8,3.370689332940104e-13,Up
Cd163,2.667467755689826,2.7685117521833623e-8,2.476549977238847e-11,Up
H2-Q6,0.2752862344709076,2.7685117521833623e-8,4.133249932285258e-22,Down
