target_id,ens_gene,ext_gene,external_transcript_name,fc,b,lrt_qval,wt_qval,Direction
ENSMUST00000016401.14,ENSMUSG00000016257,Slmo2,Slmo2-001,1.360954199345597,0.28903195022843786,0.0049879021483513275,0.003751257942741763,Up
ENSMUST00000103182.7,ENSMUSG00000027339,Rassf2,Rassf2-005,1.6077079760805981,0.4266343278016121,0.004996656716363689,0.0015353291933938348,Up
ENSMUST00000026142.7,ENSMUSG00000025151,Maged1,Maged1-001,1.3785760924906223,0.32928986052872583,0.005030100534439636,0.0028301896837080033,Up
ENSMUST00000047285.6,ENSMUSG00000032952,Ap4b1,Ap4b1-001,1.4459818017278725,0.4216347374272239,0.0050503243985913085,0.0033246548067030783,Up
ENSMUST00000111861.3,ENSMUSG00000032504,Pdcd6ip,Pdcd6ip-002,1.5909496695090632,0.4775201290580769,0.005056167606641968,0.0015693431162885543,Up
ENSMUST00000048209.15,ENSMUSG00000063229,Ldha,Ldha-001,1.7581723080277076,0.5388714428909388,0.005056667192553665,0.0015699852141364131,Up
ENSMUST00000022767.15,ENSMUSG00000022160,Mettl3,Mettl3-001,1.4185368338809725,0.3499556805856673,0.005071761287875885,0.00651652700768932,Up
ENSMUST00000107416.2,ENSMUSG00000020916,Krt36,Krt36-001,2.3949775748726547,0.896460884208304,0.005091785233984574,0.004776338785110334,Up
ENSMUST00000114151.9,ENSMUSG00000052337,Immt,Immt-004,1.5544655906218532,0.4414660415876904,0.00511598718194396,0.0015984562025130606,Up
ENSMUST00000100770.8,ENSMUSG00000043733,Ptpn11,Ptpn11-001,1.3660812405985556,0.3005846288344373,0.0051184345053866594,0.007897653382185852,Up
ENSMUST00000204293.2,ENSMUSG00000036371,Serbp1,Serbp1-004,1.5560816911922148,0.5873027235874307,0.005143295031710966,0.0016116161934073869,Up
ENSMUST00000064231.7,ENSMUSG00000052396,Mogat2,Mogat2-001,7.617864056736284,1.7298607338626988,0.005154166411233305,0.0016180174137700712,Up
ENSMUST00000197574.1,ENSMUSG00000002944,Cd36,Cd36-007,2.5268714529360463,1.055065273683604,0.005162396573778215,0.0016247258324184354,Up
ENSMUST00000125675.1,ENSMUSG00000020521,Rnft1,Rnft1-003,1.736049948784537,0.5669637866205361,0.00517491925757487,0.003235492129806534,Up
ENSMUST00000150990.7,ENSMUSG00000025421,Hdhd2,Hdhd2-005,1.744194141018801,0.5678173097909955,0.005215019668601235,0.004951156256123802,Up
ENSMUST00000166233.1,ENSMUSG00000023106,Denr,Denr-002,1.384362083910004,0.33423554895772517,0.005215019668601235,0.0069626225656044954,Up
ENSMUST00000198389.4,ENSMUSG00000027708,Dcun1d1,Dcun1d1-002,2.080097820215407,0.8193041718232258,0.0052289408755413136,0.00314862181434609,Up
ENSMUST00000082319.13,ENSMUSG00000024400,Wdr33,Wdr33-202,1.6765144798215612,0.5688785207142842,0.005249245474811858,0.0016783822675285598,Up
ENSMUST00000164215.7,ENSMUSG00000021557,Agtpbp1,Agtpbp1-002,1.7752101310654433,0.6235001022374693,0.005265955948652817,0.0016916830952622406,Up
ENSMUST00000092096.12,ENSMUSG00000047879,Usp14,Usp14-001,1.3294040415020183,0.28668953270675357,0.005265955948652817,0.008322912715521685,Up
ENSMUST00000084891.4,ENSMUSG00000021143,Pacs2,Pacs2-201,1.356248769142486,0.30989686714086073,0.005265955948652817,0.002537344330069319,Up
