target_id,ens_gene,ext_gene,external_transcript_name,fc,lrt_qval,Direction
ENSMUST00000134965.7,ENSMUSG00000056899,Immp2l,Immp2l-002,0.6889244793270363,0.013282063878765337,Down
ENSMUST00000176886.1,ENSMUSG00000022010,Tsc22d1,Tsc22d1-010,0.5923067248591404,0.013310027269783318,Down
ENSMUST00000151698.7,ENSMUSG00000028581,Laptm5,Laptm5-001,0.6773742109661153,0.013332434474685833,Down
ENSMUST00000199449.4,ENSMUSG00000039756,Dnttip2,Dnttip2-003,0.21289049197342225,0.013342946613718112,Down
ENSMUST00000107252.8,ENSMUSG00000097487,Ptges3l,Ptges3l-002,0.5249082188278266,0.013371818724079113,Down
ENSMUST00000009039.5,ENSMUSG00000058600,Rpl30,Rpl30-002,0.7181853851420353,0.013433123891592373,Down
ENSMUST00000203945.2,ENSMUSG00000030247,Kcnj8,Kcnj8-001,0.638113224005642,0.013492696653276407,Down
ENSMUST00000148159.2,ENSMUSG00000062210,Tnfaip8,Tnfaip8-001,0.81453685903726325,0.013492696653276407,Down
ENSMUST00000123074.7,ENSMUSG00000061086,Myl4,Myl4-006,0.25807351356671804,0.013511456688862094,Down
ENSMUST00000147926.7,ENSMUSG00000044813,Shb,Shb-002,0.34268987642719356,0.013558119438920133,Down
ENSMUST00000151766.1,ENSMUSG00000018565,Elp5,Elp5-008,0.2196917041244391,0.013580167995187733,Down
ENSMUST00000003642.6,ENSMUSG00000003546,Klc4,Klc4-201,0.8020836737150636,0.013661942474541415,Down
ENSMUST00000106720.8,ENSMUSG00000028607,Cpt2,Cpt2-003,0.3875421038025806,0.013669269537570314,Down
ENSMUST00000032571.9,ENSMUSG00000030411,Nova2,Nova2-001,0.7189968296400141,0.013686411235052643,Down
ENSMUST00000042405.7,ENSMUSG00000046865,Fbl,Fbl-201,0.7895265184812384,0.013758894417980594,Down
ENSMUST00000069949.12,ENSMUSG00000004980,Hnrnpa2b1,Hnrnpa2b1-001,0.7735688321829267,0.013764910501425942,Down
ENSMUST00000113938.4,ENSMUSG00000030037,Mrpl53,Mrpl53-001,0.831115214494675,0.013797840212052425,Down
ENSMUST00000123139.1,ENSMUSG00000040112,Mrps35,Mrps35-005,0.6703323320781654,0.013810697142229624,Down
ENSMUST00000160682.7,ENSMUSG00000084786,Ubl5,Ubl5-012,0.7848659000824617,0.013812453257034608,Down
ENSMUST00000085375.12,ENSMUSG00000003423,Pih1d1,Pih1d1-201,0.6526620536346391,0.01385360721203498,Down
ENSMUST00000030738.7,ENSMUSG00000028907,Utp11l,Utp11l-001,0.8067737545574564,0.01385443702607954,Down
ENSMUST00000146743.1,ENSMUSG00000034037,Fgd5,Fgd5-002,0.4915052992383089,0.01389848571476942,Down
ENSMUST00000017548.6,ENSMUSG00000017404,Rpl19,Rpl19-001,0.7734888549379496,0.013914785990895738,Down
ENSMUST00000138037.1,ENSMUSG00000002325,Irf9,Irf9-003,0.29087461261668823,0.013977203012230056,Down
ENSMUST00000175774.8,ENSMUSG00000008496,Pou2f2,Pou2f2-001,0.43664211910582945,0.013998205905390712,Down
ENSMUST00000111997.1,ENSMUSG00000079278,Tmem233,Tmem233-001,0.3244557882261524,0.014013983795060454,Down
ENSMUST00000200857.3,ENSMUSG00000029148,Nrbp1,Nrbp1-003,0.639955126140346,0.014051730472664854,Down
ENSMUST00000167025.1,ENSMUSG00000062203,Gspt1,Gspt1-005,0.7330278229092951,0.01409812934617302,Down
ENSMUST00000020000.6,ENSMUSG00000019853,Hebp2,Hebp2-201,0.6865690795659981,0.01409812934617302,Down
ENSMUST00000149953.1,ENSMUSG00000026958,Dpp7,Dpp7-008,0.33387361989016584,0.014099343917479818,Down
ENSMUST00000056403.6,ENSMUSG00000044927,H1fx,H1fx-001,0.5654079961695982,0.014108628153514366,Down
ENSMUST00000139375.7,ENSMUSG00000025151,Maged1,Maged1-003,0.2263465068492434,0.014119980541680151,Down
ENSMUST00000041190.16,ENSMUSG00000037570,Mcrs1,Mcrs1-201,0.7940009418176089,0.014123244326488286,Down
ENSMUST00000004587.10,ENSMUSG00000004473,Clec11a,Clec11a-001,0.5889561276003293,0.01413704495651627,Down
ENSMUST00000070070.7,ENSMUSG00000032285,Dnaja4,Dnaja4-001,0.8069934755490359,0.014189397694922763,Down
ENSMUST00000132860.1,ENSMUSG00000036323,Srp72,Srp72-004,0.4814304972267411,0.014199025329860568,Down
ENSMUST00000093456.11,ENSMUSG00000055553,Kxd1,Kxd1-001,0.8293817286128947,0.014223407202065804,Down
ENSMUST00000156872.1,ENSMUSG00000024457,Trim26,Trim26-006,0.6840477511641262,0.014281847945669583,Down
ENSMUST00000140369.1,ENSMUSG00000020549,Elac2,Elac2-002,0.6542470326137582,0.014294444294574516,Down
ENSMUST00000167042.7,ENSMUSG00000078765,U2af1l4,U2af1l4-003,0.7260133291191432,0.014294444294574516,Down
ENSMUST00000074408.6,ENSMUSG00000062157,Ifnlr1,Ifnlr1-001,0.44554612732709703,0.01432336514266427,Down
ENSMUST00000038169.7,ENSMUSG00000033307,Mif,Mif-201,0.6967784790290485,0.014329330662456386,Down
ENSMUST00000033342.6,ENSMUSG00000031029,Eif3f,Eif3f-001,0.8336024060622842,0.014337811130946128,Down
ENSMUST00000123327.1,ENSMUSG00000027371,Fahd2a,Fahd2a-003,0.3848129467040073,0.014422668790942427,Down
ENSMUST00000021114.4,ENSMUSG00000020766,Galk1,Galk1-001,0.6781943607549892,0.014456495770366862,Down
ENSMUST00000069877.11,ENSMUSG00000022420,Dnal4,Dnal4-004,0.22704906206955358,0.014466413828287582,Down
ENSMUST00000065358.8,ENSMUSG00000032299,Commd4,Commd4-201,0.7661469309276042,0.014527607663661006,Down
ENSMUST00000204378.1,ENSMUSG00000030016,Zfp638,Zfp638-013,0.7138972045218979,0.014556249155700971,Down
ENSMUST00000031239.12,ENSMUSG00000029299,Abcg3,Abcg3-001,0.3639689397153515,0.01455752296589393,Down
ENSMUST00000044138.7,ENSMUSG00000037347,Chst7,Chst7-001,0.6051965933139204,0.014674189036245256,Down
ENSMUST00000045887.8,ENSMUSG00000037710,Cisd1,Cisd1-001,0.8285879632963734,0.014683825281932442,Down
ENSMUST00000077389.7,ENSMUSG00000057036,Gm7536,Gm7536-001,0.7585278035665832,0.014803780869187733,Down
ENSMUST00000005830.14,ENSMUSG00000005687,Bcas2,Bcas2-001,0.7828251484605883,0.014835555221112531,Down
ENSMUST00000003436.11,ENSMUSG00000003346,Abhd17a,Abhd17a-001,0.8323047853154276,0.014886863564645142,Down
ENSMUST00000175952.1,ENSMUSG00000030982,9030624J02Rik,9030624J02Rik-013,0.48271115156377065,0.01490292719135727,Down
ENSMUST00000199193.1,ENSMUSG00000027710,Acad9,Acad9-008,0.605977474450777,0.014925846206895929,Down
ENSMUST00000159321.1,ENSMUSG00000021666,Gfm2,Gfm2-006,0.5337257417827587,0.014946601520994899,Down
ENSMUST00000053386.5,ENSMUSG00000043162,Pyurf,Pyurf-001,0.8627031466759086,0.01496295112645902,Down
ENSMUST00000080138.12,ENSMUSG00000033701,Acbd6,Acbd6-003,0.7535370335469267,0.01496295112645902,Down
ENSMUST00000043898.7,ENSMUSG00000036835,Psenen,Psenen-201,0.8178054415030089,0.01496295112645902,Down
ENSMUST00000009220.4,ENSMUSG00000009076,Zmat5,Zmat5-001,0.8079083430719708,0.01501061697263502,Down
ENSMUST00000109099.3,ENSMUSG00000047388,Atmin,Atmin-001,0.8539979575711817,0.01501061697263502,Down
ENSMUST00000034913.4,ENSMUSG00000061111,Fam195b,Fam195b-001,0.7381462697669084,0.015016070005443964,Down
ENSMUST00000187864.1,ENSMUSG00000022584,Ly6c2,Ly6c2-002,0.6785000154447873,0.015038967190710432,Down
ENSMUST00000172904.7,ENSMUSG00000060261,Gtf2i,Gtf2i-009,0.7740880419823543,0.015078637028870022,Down
ENSMUST00000151057.1,ENSMUSG00000063524,Eno1,Eno1-008,0.42492477877444107,0.015098940459595919,Down
ENSMUST00000154596.1,ENSMUSG00000027602,Map1lc3a,Map1lc3a-003,0.7285171819940214,0.015118110407556284,Down
ENSMUST00000055704.11,ENSMUSG00000032562,Gnai2,Gnai2-001,0.8448694125884341,0.015118110407556284,Down
ENSMUST00000085546.12,ENSMUSG00000066551,Hmgb1,Hmgb1-001,0.8578121886624958,0.015156863420719261,Down
ENSMUST00000148226.2,ENSMUSG00000086605,Gm14290,Gm14290-002,0.6139612168816623,0.015189785719998471,Down
ENSMUST00000002398.8,ENSMUSG00000022220,Adcy4,Adcy4-201,0.34193332717119085,0.015191594309515114,Down
ENSMUST00000038552.12,ENSMUSG00000039637,Coro7,Coro7-001,0.8300135605366258,0.015192259958737579,Down
ENSMUST00000025752.13,ENSMUSG00000024833,Pola2,Pola2-201,0.7394944661353243,0.015193334273586176,Down
ENSMUST00000025202.7,ENSMUSG00000058975,Kcnc1,Kcnc1-001,0.3963807250020502,0.015226886000159501,Down
ENSMUST00000179422.7,ENSMUSG00000066839,Ecsit,Ecsit-002,0.4022303838044051,0.015228338147264087,Down
ENSMUST00000105632.7,ENSMUSG00000029056,Pank4,Pank4-004,0.47827371998669216,0.015230225064521196,Down
ENSMUST00000135453.1,ENSMUSG00000033021,Gmppa,Gmppa-010,0.4317886428778537,0.015250228601529506,Down
ENSMUST00000115134.1,ENSMUSG00000016327,Atp1b4,Atp1b4-002,0.3377906915327396,0.015250228601529506,Down
ENSMUST00000097786.9,ENSMUSG00000026131,Dst,Dst-002,0.21341959059502047,0.015251768306651677,Down
ENSMUST00000075453.8,ENSMUSG00000041453,Rpl21,Rpl21-002,0.7056424637241359,0.015294761212947781,Down
ENSMUST00000153077.1,ENSMUSG00000045039,Megf8,Megf8-002,0.7817656922268946,0.015344617526626197,Down
ENSMUST00000067496.6,ENSMUSG00000054428,Atpif1,Atpif1-001,0.6893162664689971,0.015353296142908646,Down
ENSMUST00000027863.12,ENSMUSG00000026576,Atp1b1,Atp1b1-001,0.5851778842440832,0.01536204258751228,Down
ENSMUST00000152704.7,ENSMUSG00000021660,Btf3,Btf3-002,0.855488174739272,0.015475498786156578,Down
ENSMUST00000030839.12,ENSMUSG00000028988,Ctnnbip1,Ctnnbip1-001,0.7848669195125089,0.015485708768751586,Down
ENSMUST00000005431.5,ENSMUSG00000005299,Letm1,Letm1-001,0.8570748633539742,0.015485708768751586,Down
ENSMUST00000140485.7,ENSMUSG00000026014,Raph1,Raph1-001,0.7309640490223892,0.015516859234595093,Down
ENSMUST00000020822.11,ENSMUSG00000020515,Cnot8,Cnot8-001,0.8020568087068671,0.015528696661997712,Down
ENSMUST00000062784.7,ENSMUSG00000046031,Fam26f,Fam26f-201,0.5545271129393665,0.0155675804191273,Down
ENSMUST00000114281.7,ENSMUSG00000029101,Rgs12,Rgs12-002,0.26370084064611693,0.015614627549747837,Down
ENSMUST00000026487.4,ENSMUSG00000090000,Ier3ip1,Ier3ip1-001,0.8601652375961576,0.01561778185361536,Down
ENSMUST00000024702.3,ENSMUSG00000023909,Paqr4,Paqr4-201,0.7906410420570553,0.015619499503829112,Down
ENSMUST00000048302.12,ENSMUSG00000038204,Asb10,Asb10-001,0.4139135429357369,0.015630728612016847,Down
ENSMUST00000023869.14,ENSMUSG00000023106,Denr,Denr-001,0.7933153806214113,0.015719484864307107,Down
ENSMUST00000127641.1,ENSMUSG00000029098,Acox3,Acox3-002,0.5228022643040319,0.01573312763095576,Down
ENSMUST00000125646.1,ENSMUSG00000031446,Cul4a,Cul4a-006,0.6582467066120687,0.01573312763095576,Down
ENSMUST00000100635.4,ENSMUSG00000072568,Fam84b,Fam84b-001,0.7397003601596422,0.015750223470758915,Down
ENSMUST00000097715.2,ENSMUSG00000025208,Mrpl43,Mrpl43-201,0.8534663567274543,0.015838675477662937,Down
ENSMUST00000056370.12,ENSMUSG00000028066,Pmf1,Pmf1-001,0.8013947881157771,0.0158440104588004,Down
ENSMUST00000039608.7,ENSMUSG00000035765,Dym,Dym-201,0.8463547027584826,0.015861708077059156,Down
ENSMUST00000124226.2,ENSMUSG00000049804,Armcx4,Armcx4-001,0.6901313399644193,0.015861708077059156,Down
ENSMUST00000161830.1,ENSMUSG00000020079,Supv3l1,Supv3l1-005,0.32859657919786694,0.0158981926650736,Down
ENSMUST00000030905.8,ENSMUSG00000029038,Ssu72,Ssu72-001,0.8250435504206678,0.01593782486086733,Down
ENSMUST00000108627.3,ENSMUSG00000035585,Tsen34,Tsen34-004,0.8058148289428224,0.01593782486086733,Down
ENSMUST00000035899.7,ENSMUSG00000038982,Bloc1s5,Bloc1s5-201,0.8508855489028974,0.015983900755658836,Down
ENSMUST00000170578.2,ENSMUSG00000048027,Rgmb,Rgmb-201,0.8710137585992827,0.01602181693282486,Down
ENSMUST00000043183.7,ENSMUSG00000031877,Ces2g,Ces2g-201,0.5059837226098381,0.016168976458662544,Down
ENSMUST00000179104.1,ENSMUSG00000031731,Ap1g1,Ap1g1-201,0.7087302743698115,0.0161963413162427,Down
ENSMUST00000112944.7,ENSMUSG00000026273,Mterf4,Mterf4-002,0.5105200357593533,0.016224273357446615,Down
ENSMUST00000044828.13,ENSMUSG00000042793,Lgr6,Lgr6-001,0.5442031911841816,0.01634790034208339,Down
ENSMUST00000205870.1,ENSMUSG00000036427,Gpi1,Gpi1-011,0.4909997712182402,0.016359413079339764,Down
ENSMUST00000146502.1,ENSMUSG00000051373,Ppapdc3,Ppapdc3-002,0.3577030991395482,0.01636945188673519,Down
ENSMUST00000140155.1,ENSMUSG00000060419,Rps16-ps2,Rps16-ps2-001,0.7567679362091287,0.01636945188673519,Down
ENSMUST00000175763.7,ENSMUSG00000009563,Tor2a,Tor2a-009,0.1310646396490816,0.016404303127328507,Down
ENSMUST00000095948.10,ENSMUSG00000025075,Habp2,Habp2-002,0.26442312930978773,0.016406840236264084,Down
ENSMUST00000036928.11,ENSMUSG00000038776,Ephx1,Ephx1-001,0.6900102819358235,0.01641007267873403,Down
ENSMUST00000006496.14,ENSMUSG00000006333,Rps9,Rps9-001,0.7626617028713137,0.016456804943747967,Down
ENSMUST00000061457.6,ENSMUSG00000044636,Csrnp2,Csrnp2-201,0.6918111891308976,0.016488258005780514,Down
ENSMUST00000004396.12,ENSMUSG00000004285,Atp6v1f,Atp6v1f-001,0.8126022537585821,0.016488258005780514,Down
ENSMUST00000148750.7,ENSMUSG00000060961,Slc4a4,Slc4a4-001,0.621633461050329,0.016488258005780514,Down
ENSMUST00000164717.1,ENSMUSG00000051786,Tubgcp6,Tubgcp6-006,0.5289514306638441,0.016608371113326765,Down
ENSMUST00000033463.9,ENSMUSG00000031129,Slc9a9,Slc9a9-001,0.5774932282544929,0.016612521455576196,Down
ENSMUST00000112312.7,ENSMUSG00000025825,Iscu,Iscu-003,0.6127206405849979,0.016617294984512646,Down
ENSMUST00000075770.12,ENSMUSG00000024593,Megf10,Megf10-001,0.26583033691511876,0.016669986991860963,Down
ENSMUST00000060417.10,ENSMUSG00000044328,Trp53i13,Trp53i13-001,0.736377584230483,0.016678421984233308,Down
ENSMUST00000002551.3,ENSMUSG00000002477,Snrpd1,Snrpd1-201,0.798974613894953,0.016696463708093436,Down
