target_id,ens_gene,ext_gene,external_transcript_name,fc,b,lrt_qval,wt_qval,Direction
ENSMUST00000161744.1,ENSMUSG00000026478,Lamc1,Lamc1-005,0.5622935536996255,-0.754002216697227,0.0163223218427177,0.011635134997702017,Down
ENSMUST00000025183.8,ENSMUSG00000024325,Ring1,Ring1-001,0.7989229990241308,-0.22099573496020225,0.0163223218427177,0.07798151498910338,Down
ENSMUST00000165408.7,ENSMUSG00000018126,Baiap2l2,Baiap2l2-001,0.26062774802009464,-1.9678124546833433,0.0163223218427177,0.011635134997702017,Down
ENSMUST00000063594.12,ENSMUSG00000025969,Nrp2,Nrp2-002,0.6739318570200826,-0.41982832747747595,0.0163223218427177,0.018271783119956912,Down
ENSMUST00000161286.7,ENSMUSG00000022858,Tra2b,Tra2b-001,0.8066080970294399,-0.22241075102679808,0.01639047920903675,0.036273485889074794,Down
ENSMUST00000154304.7,ENSMUSG00000020781,Tsen54,Tsen54-007,0.25566206074309117,-2.211589894375803,0.016394586569985766,0.011700157334059708,Down
ENSMUST00000061878.4,ENSMUSG00000045259,Klhdc9,Klhdc9-001,0.4778712360975983,-0.9651934783363078,0.016394586569985766,0.011700157334059708,Down
ENSMUST00000167760.7,ENSMUSG00000042570,Mier2,Mier2-009,0.6056462663698886,-0.5101709316290619,0.016417275825823856,0.02382971493065458,Down
ENSMUST00000029510.8,ENSMUSG00000027902,Chil6,Chil6-001,0.3089815749737423,-1.1255386311857798,0.016423423365351346,0.018398793568295043,Down
ENSMUST00000117989.1,ENSMUSG00000047084,Ngrn,Ngrn-001,0.7697490370004759,-0.24893989654188992,0.016435227049703124,0.04730515639117846,Down
ENSMUST00000074144.10,ENSMUSG00000026554,Dcaf8,Dcaf8-007,0.7859654756757226,-0.2390976611620627,0.016440449723404055,0.023770159267222295,Down
ENSMUST00000180545.1,ENSMUSG00000037926,Ssh2,Ssh2-006,0.2579767527517366,-1.466326522179732,0.016497716710912453,0.01180166783546473,Down
ENSMUST00000122411.1,ENSMUSG00000083306,Gm13868,Gm13868-001,0.2878281899615488,-1.369784964514629,0.016502465168608264,0.016476817365994934,Down
ENSMUST00000006391.4,ENSMUSG00000045827,Serpinb9,Serpinb9-201,0.7351074506590957,-0.31713603443214516,0.016529397537336697,0.011847660157157887,Down
ENSMUST00000053926.11,ENSMUSG00000068206,Pick1,Pick1-003,0.41035064400570614,-1.4875912494012047,0.016585583896982243,0.011909082751619074,Down
ENSMUST00000044189.15,ENSMUSG00000033075,Senp1,Senp1-001,0.7828307469130235,-0.24014705304838013,0.016601461436190353,0.04172782252707973,Down
ENSMUST00000034017.8,ENSMUSG00000031605,Klhl2,Klhl2-201,0.5921809217267638,-0.4716640713486914,0.016643335302823678,0.011967518287815511,Down
ENSMUST00000147039.1,ENSMUSG00000037358,4930578C19Rik,4930578C19Rik-002,0.5565470612990426,-0.5254804139590734,0.01665276127230247,0.011977144425919559,Down
ENSMUST00000022921.6,ENSMUSG00000022309,Angpt1,Angpt1-201,0.5996966042875418,-0.5165224228251563,0.01666582063222631,0.011990733841466709,Down
ENSMUST00000188570.1,ENSMUSG00000056211,R3hdm1,R3hdm1-007,0.7695622031481454,-0.2779012125896536,0.016681392084106145,0.029705194075837466,Down
ENSMUST00000153123.2,ENSMUSG00000003531,Dgcr6,Dgcr6-003,0.2332189435924191,-2.527570256016737,0.016737144837086645,0.012077641242406028,Down
ENSMUST00000132480.1,ENSMUSG00000021453,Gadd45g,Gadd45g-002,0.5154436061367441,-0.681113143737262,0.01674636494641441,0.012755032766919272,Down
ENSMUST00000159159.1,ENSMUSG00000074207,Adh1,Adh1-004,0.34070265069254635,-1.2561518526556243,0.016779061534880495,0.01213988779624631,Down
ENSMUST00000135213.7,ENSMUSG00000031387,Renbp,Renbp-007,0.3394767615020945,-1.3376575558037105,0.016923884322400894,0.017392132826407627,Down
ENSMUST00000004494.15,ENSMUSG00000031622,Sin3b,Sin3b-201,0.7521799439254898,-0.30010670901391623,0.01692988339602276,0.012310164622389638,Down
ENSMUST00000093795.9,ENSMUSG00000056267,Cep70,Cep70-001,0.6671117045294768,-0.3616743740070929,0.01692988339602276,0.012314717414969754,Down
ENSMUST00000136485.1,ENSMUSG00000014959,Gorasp2,Gorasp2-004,0.3978752253830025,-0.801409770121787,0.01693229414413722,0.012319519002992496,Down
ENSMUST00000109381.8,ENSMUSG00000022387,Brd1,Brd1-001,0.8252837719131569,-0.1947784026494742,0.016935313307602232,0.08075401404591251,Down
ENSMUST00000137537.1,ENSMUSG00000034868,Myl12b,Myl12b-003,0.619403576642532,-0.47642416956723976,0.017025089663561022,0.026486227907091743,Down
ENSMUST00000089461.10,ENSMUSG00000058793,Cds2,Cds2-002,0.7849495638295578,-0.2436618527797726,0.017039466898827342,0.03600466051411845,Down
ENSMUST00000048400.3,ENSMUSG00000033955,Tnks1bp1,Tnks1bp1-003,0.7856767627990809,-0.22787316940118232,0.017113995076295414,0.04099302146821761,Down
ENSMUST00000137423.1,ENSMUSG00000047675,Rps8,Rps8-005,0.39290240464903126,-1.3049718246241226,0.017120813253392975,0.012530075244378543,Down
ENSMUST00000133143.1,ENSMUSG00000057554,Lgals8,Lgals8-006,0.6359021239243593,-0.4500427543142602,0.017159140488117286,0.012565579529685397,Down
ENSMUST00000053949.6,ENSMUSG00000044461,Shisa2,Shisa2-201,0.47149097088389563,-0.8299316600282525,0.017171812096996426,0.012579796040150634,Down
ENSMUST00000141647.7,ENSMUSG00000033909,Usp36,Usp36-004,0.5811700233322808,-0.526004777658872,0.017317392098728027,0.012749139469152822,Down
ENSMUST00000165148.3,ENSMUSG00000061882,Ccdc62,Ccdc62-201,0.5710010666322255,-0.6103170330102072,0.01732880160525673,0.01276979457408946,Down
ENSMUST00000084289.4,ENSMUSG00000042500,Ago4,Ago4-001,0.763546235165428,-0.2555965229275097,0.01732880160525673,0.07319243462383594,Down
ENSMUST00000160302.3,ENSMUSG00000037318,Traf3ip3,Traf3ip3-006,0.37507080798430387,-1.5460876783054358,0.017337121796704193,0.018799023165800746,Down
ENSMUST00000123773.1,ENSMUSG00000024817,Uhrf2,Uhrf2-005,0.649822643913699,-0.4564917772072776,0.017347830209906955,0.01280269727568519,Down
ENSMUST00000044694.7,ENSMUSG00000039438,Ttc36,Ttc36-201,0.2409102830325393,-1.7688280970804804,0.01737075925480701,0.012822209066658773,Down
ENSMUST00000043577.2,ENSMUSG00000041378,Cldn5,Cldn5-201,0.5929516705039334,-0.4724091317969905,0.01741989763888837,0.012895338067102812,Down
